;date;campaign_id;ad_set_id;ad_id;cpm;ctr;spend;clicks;impressions;breakdown_set; breakdowns_old;platform;country_code
5753;2021-01-01;23846112834800717;23846402450660717;23846402450680717;2.85714286;0.0;0.02;0;7;{country};"{""country"": ""MX""}";android;MX
5762;2021-01-01;23846112834800717;23846402450660717;23846402450680717;0.28571429;0.0;0.01;0;35;{country};"{""country"": ""IN""}";android;IN
5799;2021-01-01;23846112834800717;23846402450660717;23846402450670717;0.90909091;0.0;0.01;0;11;{country};"{""country"": ""RU""}";android;RU
5836;2021-01-01;23846112834800717;23846120864740717;23846120864760717;0.25641026;0.0;0.01;0;39;{country};"{""country"": ""RU""}";android;RU
5850;2021-01-01;23846112834800717;23846120864740717;23846120864760717;0.0;0.0;0.0;0;1;{country};"{""country"": ""MX""}";android;MX
5860;2021-01-01;23846112834800717;23846120864740717;23846120864760717;0.42553191;0.0;0.02;0;47;{country};"{""country"": ""IN""}";android;IN
5914;2021-01-01;23846374662710717;23846375201710717;23846439579060717;104.19354839;0.0;3.23;0;31;{country};"{""country"": ""AU""}";android;AU
5961;2021-01-01;23846374662710717;23846374662760717;23846439574080717;52.03109815;0.48590865;53.54;5;1029;{country};"{""country"": ""AU""}";android;AU
6014;2021-01-01;23846112834800717;23846402693590717;23846402736440717;4.03755869;1.4084507;0.86;3;213;{country};"{""country"": ""RU""}";android;RU
6037;2021-01-01;23846112834800717;23846402693590717;23846402736440717;0.41666667;0.0;0.01;0;24;{country};"{""country"": ""MX""}";android;MX
6058;2021-01-01;23846112834800717;23846402693590717;23846402736440717;0.98993289;1.34228188;0.59;8;596;{country};"{""country"": ""IN""}";android;IN
6130;2021-01-01;23846112834800717;23846402693590717;23846402693600717;2.87356322;1.14942529;0.25;1;87;{country};"{""country"": ""RU""}";android;RU
6150;2021-01-01;23846112834800717;23846402693590717;23846402693600717;3.33333333;0.0;0.04;0;12;{country};"{""country"": ""MX""}";android;MX
6170;2021-01-01;23846112834800717;23846402693590717;23846402693600717;0.71225071;1.70940171;0.25;6;351;{country};"{""country"": ""IN""}";android;IN
6197;2021-01-01;23846112834800717;23846417851850717;23846417851860717;45.38461538;1.92307692;2.36;1;52;{country};"{""country"": ""AU""}";android;AU
6201;2021-01-01;23846112834800717;23846417851850717;23846417851830717;10.0;0.0;0.01;0;1;{country};"{""country"": ""AU""}";android;AU
6248;2021-01-01;23846374662710717;23846374662760717;23846417828890717;55.50898204;0.0;9.27;0;167;{country};"{""country"": ""AU""}";android;AU
6277;2021-01-01;23846374662710717;23846375201710717;23846417807440717;67.5;0.0;0.54;0;8;{country};"{""country"": ""AU""}";android;AU
6280;2021-01-01;23846112834800717;23846402746620717;23846402746630717;25.0;0.0;0.2;0;8;{country};"{""country"": ""AU""}";android;AU
6283;2021-01-01;23846112834800717;23846402746620717;23846402746600717;20.0;0.0;0.36;0;18;{country};"{""country"": ""AU""}";android;AU
6286;2021-01-01;23846112834800717;23846402746620717;23846402746590717;20.0;0.0;0.58;0;29;{country};"{""country"": ""AU""}";android;AU
6290;2021-01-01;23846112834800717;23846402741870717;23846402741890717;12.0;0.0;0.48;0;40;{country};"{""country"": ""AU""}";android;AU
6293;2021-01-01;23846112834800717;23846402741870717;23846402741880717;22.76595745;0.0;1.07;0;47;{country};"{""country"": ""AU""}";android;AU
6303;2021-01-01;23846112834800717;23846402450660717;23846402450670717;10.0;0.0;0.01;0;1;{country};"{""country"": ""MX""}";android;MX
6312;2021-01-01;23846112834800717;23846402450660717;23846402450670717;0.29850746;0.0;0.02;0;67;{country};"{""country"": ""IN""}";android;IN
6353;2021-01-01;23846112834800717;23846402450660717;23846402450650717;1.52564103;0.25641026;1.19;2;780;{country};"{""country"": ""RU""}";android;RU
6378;2021-01-01;23846112834800717;23846402450660717;23846402450650717;0.88235294;0.0;0.03;0;34;{country};"{""country"": ""MX""}";android;MX
6401;2021-01-01;23846112834800717;23846402450660717;23846402450650717;0.56122449;0.76530612;0.22;3;392;{country};"{""country"": ""IN""}";android;IN
6461;2021-01-01;23846112834800717;23846402450660717;23846402450640717;1.74242424;0.0;0.23;0;132;{country};"{""country"": ""RU""}";android;RU
6482;2021-01-01;23846112834800717;23846402450660717;23846402450640717;3.33333333;0.0;0.02;0;6;{country};"{""country"": ""MX""}";android;MX
6526;2021-01-01;23846112834800717;23846147001950717;23846147001920717;2.0;0.0;0.03;0;15;{country};"{""country"": ""MX""}";android;MX
6547;2021-01-01;23846112834800717;23846147001950717;23846147001920717;0.62130178;1.62721893;0.42;11;676;{country};"{""country"": ""IN""}";android;IN
6603;2021-01-01;23846112834800717;23846120864740717;23846120864780717;1.25;0.0;0.01;0;8;{country};"{""country"": ""RU""}";android;RU
6613;2021-01-01;23846112834800717;23846120864740717;23846120864780717;10.0;0.0;0.01;0;1;{country};"{""country"": ""MX""}";android;MX
6618;2021-01-01;23846112834800717;23846120864740717;23846120864780717;0.55555556;0.0;0.01;0;18;{country};"{""country"": ""IN""}";android;IN
6651;2021-01-01;23846112834800717;23846120864740717;23846120864770717;1.48148148;0.0;0.16;0;108;{country};"{""country"": ""RU""}";android;RU
6671;2021-01-01;23846112834800717;23846120864740717;23846120864770717;2.0;0.0;0.01;0;5;{country};"{""country"": ""MX""}";android;MX
6687;2021-01-01;23846112834800717;23846120864740717;23846120864770717;0.88983051;1.27118644;0.21;3;236;{country};"{""country"": ""IN""}";android;IN
6709;2021-01-01;23846374662710717;23846374662760717;23846375185270717;29.40298507;0.0;1.97;0;67;{country};"{""country"": ""AU""}";android;AU
6752;2021-01-01;23846112834800717;23846120229140717;23846120229120717;1.42857143;4.76190476;0.03;1;21;{country};"{""country"": ""MX""}";android;MX
6772;2021-01-01;23846112834800717;23846120229140717;23846120229120717;0.54200542;2.16802168;0.2;8;369;{country};"{""country"": ""IN""}";android;IN
6828;2021-01-01;23846112834800717;23846120229140717;23846120229110717;0.71428571;0.0;0.04;0;56;{country};"{""country"": ""RU""}";android;RU
6857;2021-01-01;23846112834800717;23846120229140717;23846120229110717;0.18867925;0.62893082;0.03;1;159;{country};"{""country"": ""IN""}";android;IN
6912;2021-01-01;23846112834800717;23846120229140717;23846120229100717;2.02898551;0.28985507;0.7;1;345;{country};"{""country"": ""RU""}";android;RU
6937;2021-01-01;23846112834800717;23846120229140717;23846120229100717;2.14285714;0.0;0.06;0;28;{country};"{""country"": ""MX""}";android;MX
6984;2021-01-01;23846112834800717;23846147001950717;23846147001920717;1.72749392;0.243309;0.71;1;411;{country};"{""country"": ""RU""}";android;RU
7031;2021-01-01;23846112834800717;23846120229140717;23846120229090717;1.97452229;0.0;0.31;0;157;{country};"{""country"": ""RU""}";android;RU
7052;2021-01-01;23846112834800717;23846120229140717;23846120229090717;1.81818182;0.0;0.02;0;11;{country};"{""country"": ""MX""}";android;MX
7070;2021-01-01;23846112834800717;23846120229140717;23846120229090717;0.38888889;0.83333333;0.14;3;360;{country};"{""country"": ""IN""}";android;IN
7220;2021-01-01;23846112834800717;23846120229140717;23846120229120717;2.43119266;0.4587156;0.53;1;218;{country};"{""country"": ""RU""}";android;RU
7270;2021-01-01;23846112834800717;23846112954660717;23846112954650717;5.83333333;0.0;0.07;0;12;{country};"{""country"": ""AU""}";android;AU
7273;2021-01-01;23846112834800717;23846112954660717;23846112954640717;42.0;0.0;0.21;0;5;{country};"{""country"": ""AU""}";android;AU
7276;2021-01-01;23846112834800717;23846112954660717;23846112954630717;22.0;0.0;0.11;0;5;{country};"{""country"": ""AU""}";android;AU
7279;2021-01-01;23846112834800717;23846112954660717;23846112954620717;62.22222222;0.0;1.12;0;18;{country};"{""country"": ""AU""}";android;AU
7282;2021-01-01;23846112834800717;23846112954660717;23846112954610717;42.5;0.0;0.34;0;8;{country};"{""country"": ""AU""}";android;AU
7285;2021-01-01;23846112834800717;23846112834960717;23846112904460717;31.66666667;0.0;0.19;0;6;{country};"{""country"": ""AU""}";android;AU
7288;2021-01-01;23846112834800717;23846112834960717;23846112897530717;65.29411765;0.0;1.11;0;17;{country};"{""country"": ""AU""}";android;AU
7291;2021-01-01;23846112834800717;23846112834960717;23846112891780717;22.94117647;0.0;0.39;0;17;{country};"{""country"": ""AU""}";android;AU
7294;2021-01-01;23846112834800717;23846112834960717;23846112882150717;14.54545455;3.03030303;0.48;1;33;{country};"{""country"": ""AU""}";android;AU
7297;2021-01-01;23846112834800717;23846112834960717;23846112835410717;25.0;0.0;0.2;0;8;{country};"{""country"": ""AU""}";android;AU
7316;2021-01-01;23846112834800717;23846120229140717;23846120229100717;0.46666667;1.0;0.28;6;600;{country};"{""country"": ""IN""}";android;IN
7384;2021-01-01;23846112834800717;23846120864740717;23846120864750717;1.04347826;0.0;0.12;0;115;{country};"{""country"": ""RU""}";android;RU
7402;2021-01-01;23846112834800717;23846120864740717;23846120864750717;0.0;0.0;0.0;0;2;{country};"{""country"": ""MX""}";android;MX
7417;2021-01-01;23846112834800717;23846120864740717;23846120864750717;0.61728395;0.0;0.1;0;162;{country};"{""country"": ""IN""}";android;IN
7474;2021-01-01;23846112834800717;23846120864740717;23846120864730717;1.61392405;0.15822785;1.02;1;632;{country};"{""country"": ""RU""}";android;RU
